text,x0,x1,top,doctop,bottom,upright,height,width,direction
NICS,408.1,444.0856,26.485439999999926,26.485439999999926,41.60543999999993,True,15.120000000000005,35.98559999999998,ltr
Firearm,448.37968,500.33200000000005,26.485439999999926,26.485439999999926,41.60543999999993,True,15.120000000000005,51.95232000000004,ltr
Background,504.74704,585.62392,26.485439999999926,26.485439999999926,41.60543999999993,True,15.120000000000005,80.87687999999997,ltr
Checks,589.9028800000001,640.38856,26.485439999999926,26.485439999999926,41.60543999999993,True,15.120000000000005,50.48567999999989,ltr
November,465.94,535.99096,44.965439999999944,44.965439999999944,60.08543999999995,True,15.120000000000005,70.05095999999998,ltr
-,540.28504,545.3199999999999,44.965439999999944,44.965439999999944,60.08543999999995,True,15.120000000000005,5.0349599999999555,ltr
2015,549.6292000000001,583.25608,44.965439999999944,44.965439999999944,60.08543999999995,True,15.120000000000005,33.626879999999915,ltr
Pre-Pawn,336.55,362.63128,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,26.081279999999992,ltr
Redemption,446.74,479.99824,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,33.25824,ltr
Returned/Disposition,548.04,606.46944,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,58.42944,ltr
Rentals,661.82,682.53296,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,20.712959999999953,ltr
Private,750.65,769.69256,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,19.04255999999998,ltr
Sale,771.28808,783.12488,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,11.836799999999926,ltr
Return,840.43,858.82168,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,18.391680000000065,ltr
to,860.57272,866.0101599999999,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,5.437439999999924,ltr
Seller,867.7611999999999,883.4341599999999,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,15.67295999999999,ltr
